{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 25, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.022, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'oracle': 0.27, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 25, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 25, 'n_target': 100, 'lipton': 0.57, 'oracle': 0.16, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0212, 'n_source': 25, 'n_target': 100, 'lipton': 0.24, 'oracle': 0.24, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0173, 'n_source': 25, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0164, 'n_source': 50, 'n_target': 100, 'lipton': 0.07, 'oracle': 0.07, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 50, 'n_target': 100, 'lipton': 0.4, 'oracle': 0.25, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 50, 'n_target': 100, 'lipton': 0.14, 'oracle': 0.14, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 50, 'n_target': 100, 'lipton': 0.46, 'oracle': 0.16, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 50, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.19, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 50, 'n_target': 100, 'lipton': 0.27, 'oracle': 0.26, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 50, 'n_target': 100, 'lipton': 0.47, 'oracle': 0.14, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 50, 'n_target': 100, 'lipton': 0.52, 'oracle': 0.13, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.21, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 50, 'n_target': 100, 'lipton': 0.57, 'oracle': 0.11, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 50, 'n_target': 100, 'lipton': 0.23, 'oracle': 0.23, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 50, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0168, 'n_source': 50, 'n_target': 100, 'lipton': 0.16, 'oracle': 0.16, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.54, 'oracle': 0.15, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.16, 'oracle': 0.16, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0168, 'n_source': 50, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.2, 'iter': 45}
