{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0537, 'n_source': 25, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.7113207547169812, 'oracle': 0.29, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0559, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.3075268817204302, 'oracle': 0.36, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.056, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5922580645161291, 'oracle': 0.33, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0609, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.8000000000000002, 'oracle': 0.34, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0537, 'n_source': 50, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.9166666666666666, 'oracle': 0.33, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0538, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.5166666666666666, 'oracle': 0.3, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0597, 'n_source': 50, 'n_target': 100, 'lipton': 0.4, 'prop-target': 0.6199999999999999, 'oracle': 0.34, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0539, 'n_source': 50, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.561627906976744, 'oracle': 0.35, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0536, 'n_source': 50, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.310270270270271, 'oracle': 0.27, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 50, 'n_target': 100, 'lipton': 0.41, 'prop-target': 0.5863662790697675, 'oracle': 0.37, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0556, 'n_source': 25, 'n_target': 100, 'lipton': 0.72, 'prop-target': 0.2964705882352941, 'oracle': 0.33, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0576, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.7655421686746987, 'oracle': 0.29, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0537, 'n_source': 50, 'n_target': 100, 'lipton': 0.27, 'prop-target': 0.940952380952381, 'oracle': 0.27, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0557, 'n_source': 50, 'n_target': 100, 'lipton': 0.43, 'prop-target': 1.3096296296296297, 'oracle': 0.44, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0581, 'n_source': 50, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.6, 'oracle': 0.33, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0597, 'n_source': 50, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.4666666666666667, 'oracle': 0.38, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0573, 'n_source': 50, 'n_target': 100, 'lipton': 0.39, 'prop-target': 0.514663212435233, 'oracle': 0.37, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0554, 'n_source': 50, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.24721518987341792, 'oracle': 0.28, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.056, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.775076923076923, 'oracle': 0.36, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0546, 'n_source': 50, 'n_target': 100, 'lipton': 0.55, 'prop-target': 0.42620689655172417, 'oracle': 0.35, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0588, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.6396296296296295, 'oracle': 0.31, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0583, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.7069767441860464, 'oracle': 0.34, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0555, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.9546017699115041, 'oracle': 0.38, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0536, 'n_source': 50, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.8399999999999997, 'oracle': 0.3, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0493, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.7491891891891893, 'oracle': 0.35, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0585, 'n_source': 50, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.7228, 'oracle': 0.28, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0538, 'n_source': 50, 'n_target': 100, 'lipton': 0.7, 'prop-target': 0.3232432432432432, 'oracle': 0.5, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 50, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.7873191489361702, 'oracle': 0.32, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0538, 'n_source': 50, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.39302325581395353, 'oracle': 0.36, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0567, 'n_source': 50, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.4646590909090909, 'oracle': 0.31, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0597, 'n_source': 50, 'n_target': 100, 'lipton': 0.69, 'prop-target': 0.36340425531914905, 'oracle': 0.31, 'iter': 57}
